state,value,category
California,1590.8,0
Florida,2089.2,0
Georgia,5477.2,0
Illinois,3099.3,0
Indiana,3128.6,0
Michigan,2774.6,0
Missouri,3848.981804,0
New Jersey,576.4,0
New York,1938.716529,0
North Carolina,3380.2,0
Ohio,3019.9,0
Pennsylvania,2180.7,0
Tennessee,3208.8,0
Texas,7936.9,0
Virginia,4328.2,0
California,1851.895957,1
Florida,2377.344766,1
Georgia,5889.672838,1
Illinois,3134.778572,1
Indiana,3135.327463,1
Michigan,2902.229227,1
Missouri,3825.267528,1
New Jersey,796.0578369,1
New York,2212.018177,1
North Carolina,3365.607543,1
Ohio,3259.407362,1
Pennsylvania,2335.356927,1
Tennessee,3393.713249,1
Texas,8070.690035,1
Virginia,4721.936532,1
