state,num_deaths,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_vaccinated,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_insufficient_sleep
Alabama,81791,1339.278504,2507.9,2126.2,3034.077606,907.0810318,2580,1020.561369,1043.257604,2589.896286
Alaska,8087,603.3870327,1001.4,671.8,2300,608.088642,454,351.1811526,348.1792607,930.3531697
Arizona,80394,247.258666,449.3,380.8,989.306309,238.601669,570,202.5841128,203.5135558,484.2331675
Arkansas,48017,1529.163651,2698.8,2581.4,3843.707993,1030.677439,3060,1063.178286,1119.720641,2604.935846
California,347837,701.3127864,1590.8,1230,4733.98625,1150.321389,2281,652.5950532,704.2703489,1851.895957
Colorado,52174,915.0398436,1586.2,1239.1,4881.8345,1164.464308,2617,666.8676024,743.4490524,1723.50959
Connecticut,35163,94.98895934,213.6,164.2,719.2922228,144.4616138,431,72.47243625,84.34692362,255.2448697
Delaware,12674,48.1513188,97,87,237.8155063,52.4529901,162,34.9105907,40.36742953,105.4689619
District of Columbia,8387,15.96559215,23.5,18.4,100,27.3130182,38,9.103913321,10.83328486,36.20131325
Florida,263456,1285.804787,2089.2,2028.9,4619.715998,1175.838218,2615,913.8636939,954.6347947,2377.344766
Georgia,131421,2903.75868,5477.2,4905.7,8612.672644,2369.130465,6539,1928.822689,2099.610184,5889.672838
Hawaii,14148,62.60353547,112.2,101,453.4432749,98.09069442,156,49.2967387,52.53126259,196.4098382
Idaho,17620,622.533261,1331.3,1060.8,2984.11248,687.5987462,1582,510.3382245,543.4490903,1288.411229
Illinois,143269,1615.269618,3099.3,2633.8,6800.109013,2033.27345,4283,1093.560701,1215.739075,3134.778572
Indiana,90977,1833.751121,3128.6,2625,5790.564019,1576.113618,4330,1125.037865,1265.422848,3135.327463
Iowa,34848,1568.540869,3380,2571.6,7376.996244,2012.790333,4717,942.6076811,1097.70217,2712.373353
Kansas,32816,1699.462887,3614.4,3005.3,6411.23347,1767.791942,3940,1105.44868,1193.153914,3097.497285
Kentucky,74253,2674.929757,4230.2,3801.9,6653.932107,1880.396125,4915,1860.148223,1870.270755,4643.179493
Louisiana,71605,1394.747154,2388.8,1988.5,3581.493721,1193.185381,2481,957.3394442,1002.009001,2386.958382
Maine,18065,257.9636455,493.3,362.9,991.1310739,311.1445438,681,175.4658711,204.2688123,510.2892983
Maryland,70250,346.0934001,803.4,606.4,1936.171201,402.6392433,1184,239.9453966,285.3461603,818.5837279
Massachusetts,67991,185.7813272,354.8,294.2,1281.629558,300.4778633,727,143.4834067,163.5594341,456.1378303
Michigan,131562,1457.997039,2774.6,2051.6,6284.284992,1580.690817,3391,1009.50387,1119.165518,2902.229227
Minnesota,50696,1303.595109,2748.6,2123.7,6072.605558,1808.857711,3865,798.7892823,879.7652167,2530.335988
Mississippi,50862,1668.107306,3135.2,2777.1,3458.0892,1096.635026,3132,1232.756384,1221.621835,2905.963405
Missouri,99556,2371.630117,3848.981804,3393.239531,6433.902128,2033.288144,4544.468163,1627.28279,1653.056479,3825.267528
Montana,12372,944.6638737,1638.5,1400.1,3019.594071,1166.020153,1911,643.1344472,680.1147011,1525.757538
Nebraska,18443,1360.084915,3137.5,2581.1,4867.845193,1855.653057,3403,909.211467,997.4649883,2585.382063
Nevada,38029,298.3605357,502.8,419.9,1077.074632,344.8243901,561,208.7235332,219.5481059,581.7438385
New Hampshire,15688,148.4627272,288.4,220.7,846.2270279,193.7136809,465,102.4497391,119.036015,313.4913445
New Jersey,91120,295.4359839,576.4,549.8,1939.160114,388.8348289,1034,225.0886398,253.2166622,796.0578369
New Mexico,27746,563.1984957,950.4,789,2208.293934,517.9293709,1188,473.6110032,471.2280726,1038.672309
New York,262854,966.690045,1938.716529,1590.195824,5003.097414,1260.700772,3107.019022,675.788351,775.4696765,2212.018177
North Carolina,134245,1747.506506,3380.2,2780.5,6395.957303,1575.026491,4895,1305.867218,1332.172677,3365.607543
North Dakota,6767,906.3440139,1765.2,1485.6,2937.64197,1136.761332,2143,483.8736608,537.9119604,1484.847035
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0
Ohio,167344,1689.554028,3019.9,2548.3,5963.119958,1604.378657,4176,1078.808988,1185.915338,3259.407362
Oklahoma,60262,1466.29212,2705.4,2442.2,4022.38885,1030.033819,3448,1046.299322,1138.077437,2579.520466
Oregon,46503,554.8956988,1135.2,781.4,2829.504996,660.8814261,1358,434.0529747,501.5330344,1086.22114
